temp,feelslike,dew,humidity,precip,precipprob,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk
15,15,9,67.36,0,0,0,0,36.4,17.5,50,1023,100,10,0,0,0,10
15,15,8,62.95,0,0,0,0,36,17.5,50,1024,100,10,0,0,0,10
14.4,14.4,8.9,69.59,0,0,0,0,36,7.2,56,1024.2,100,10,0,0,0,10
14,14,8,67.15,0,0,0,0,37.1,13.9,50,1024,100,10,0,0,0,10
14,14,8,67.15,0,0,0,0,37.4,16.6,45,1024.5,100,10,0,0,0,10
13.7,13.7,7.7,67.45,0.002,100,0,0,34.6,13,46,1024.7,100,10.2,0,0,0,10
13,13,8.5,74.13,0,0,0,0,34.2,17.5,50,1025,100,10,0,0,0,10
13,13,8,71.66,0,0,0,0,34.6,14.8,35,1025,100,10,0,0,0,10
13,13,8.1,72.08,0,0,0,0,33.5,14.7,42,1025.1,100,9.9,0,0,0,10
13,13,8,71.66,0,0,0,0,31.7,16.6,40,1025.5,100,10,0,0,0,10
13,13,7.5,69.27,0,0,0,0,31.3,13,40,1026,100,10,0,0,0,10
12.7,12.7,7.9,72.36,0,0,0,0,29.5,11.8,44,1026.9,100,10.2,1,0,0,10
13,13,7,66.93,0,0,0,0,27.7,13,40,1027.5,100,10,13,0,0,10
13,13,7.5,69.26,0,0,0,0,24.5,15.7,35,1028,100,10,36,0.1,0,10
14,14,7.1,63.25,0,0,0,0,21.2,10.4,10,1027.6,100,10,73,0.3,1,10
15,15,7,58.79,0,0,0,0,17.3,14.8,30,1026.5,100,10,108,0.4,1,10
15,15,7,58.79,0,0,0,0,15.1,13.9,20,1025,100,10,132,0.5,1,10
15.8,15.8,6.8,55.09,0,0,0,0,14.4,7.6,42,1024,99.8,10.4,135,0.5,1,10
15,15,7.5,60.83,0,0,0,0,12.6,14.8,10,1023,100,10,166,0.6,2,10
16,16,8,59.04,0,0,0,0,11.5,14.8,10,1022,94.6,10,154,0.6,2,10
15.7,15.7,7.5,57.91,0,0,0,0,11.2,8.6,347,1022.1,96,10,125,0.5,1,10
14.5,14.5,8,65.01,0,0,0,0,9.4,11.2,50,1022,95,10,70,0.3,1,10
14,14,8,67.15,0,0,0,0,8.6,14.8,80,1022.5,88,10,2,0,0,10
14.2,14.2,7.8,65.47,0,0,0,0,7.9,9.2,359,1022.9,99.8,10.2,0,0,0,10
13,13,8,71.66,0,0,0,0,6.5,10.3,70,1023,100,10,0,0,0,10
13,13,8,71.66,0,0,0,0,4.3,11.2,70,1023,94,10,0,0,0,10
13.9,13.9,7.7,66.52,0,0,0,0,5,6.2,357,1023,100,10,0,0,0,10
13,13,8,71.66,0,0,0,0,5.8,11.2,65,1023,100,10,0,0,0,10
13,13,8,71.66,0,0,0,0,3.2,11.2,55,1023,100,10,0,0,0,10
13.5,13.5,8.1,69.81,0,0,0,0,1.8,6.6,359,1022.2,100,10.2,0,0,0,10
13,13,8,71.66,0,0,0,0,1.8,12.1,55,1022,100,10,0,0,0,10
13,13,8,71.65,0,0,0,0,2.2,11.2,60,1022,100,10,0,0,0,10
13.7,13.7,8.5,70.88,0,0,0,0,2.5,3.4,42,1021.9,100,10,0,0,0,10
13,13,9,76.68,0,0,0,0,2.9,10.3,45,1022,100,10,0,0,0,10
13,13,9,76.68,0,0,0,0,2.5,9.4,40,1022.5,95,10,0,0,0,10
13.7,13.7,8.9,73.17,0,0,0,0,1.8,3.4,31,1023.2,100,10.2,3,0,0,10
14,14,10,76.84,0,0,0,0,2.5,10.3,20,1024,100,10,37,0.1,0,10
15,15,10,72.03,0,0,0,0,1.4,7.6,35,1024,100,10,94,0.3,1,10
15.5,15.5,10.1,70.4,0,0,0,0,1.8,4.1,225,1024.2,100,10,180,0.6,2,10
15.5,15.5,10,69.75,0,0,0,0,2.5,6.5,25,1023.5,100,10,274,1,3,10
16,16,11,72.22,0,0,0,0,4.7,5.4,360,1022,100,10,624,2.2,6,10
16.9,16.9,11.1,68.49,0,0,0,0,5,4.9,359,1020.8,100,9.7,713,2.6,7,10
16,16,11,72.22,0,0,0,0,5.8,8.5,350,1020,100,8,637,2.3,6,10
17,17,12,72.4,0,0,0,0,6.8,11.2,10,1019.5,100,7,500,1.8,5,10
17.4,17.4,11.6,68.85,0,0,0,0,6.8,5.7,346,1019.5,100,9.1,313,1.1,3,10
16,16,12,77.16,0,0,0,0,8.3,7.4,20,1020,95,7.5,104,0.4,1,10
16,16,12,77.16,0,0,0,0,10.8,6.5,10,1020.5,100,8,2,0,0,10
15.9,15.9,11.7,76.2,0,0,0,0,9,3.1,30,1021,98.3,10,0,0,0,10
16,16,12,77.16,0,0,0,0,7.9,9.4,20,1021,94,10,0,0,0,10
15.5,15.5,12,79.67,0,0,0,0,6.1,10.3,45,1022,95,10,0,0,0,10
15.9,15.9,12,77.96,0,0,0,0,5.4,8.9,345,1021.8,97.9,10,0,0,0,10
15,15,11.5,79.6,0,0,0,0,5.8,12.1,35,1022,100,10,0,0,0,10
13.5,13.5,12,90.65,0,0,0,0,6.1,13.9,25,1022,100,7.5,0,0,0,10
14.1,14.1,11.9,86.8,0,0,0,0,7.2,6.4,349,1021.9,99.8,8.3,0,0,0,10
13,13,12,93.65,0,0,0,0,8.6,13.9,45,1022,100,6,0,0,0,10
12,12,12,100,0,0,0,0,9.7,15.7,50,1022,89,8,0,0,0,10
12.7,12.7,11.7,93.98,0,0,0,0,10.8,5.9,42,1021.8,97.9,6,0,0,0,10
12,12,11,93.6,0,0,0,0,12.2,13,30,1022,100,8,0,0,0,10
12,12,11,93.6,0,0,0,0,12.6,15.7,25,1022.5,100,8,0,0,0,10
12.2,12.2,11.4,94.36,0.005,100,0,0,15.8,10.6,11,1023.4,97.8,6.1,2,0,0,10
12,12,10.5,90.53,0,0,0,0,17.3,17.5,30,1024.5,100,10,17,0.1,0,10
13,13,10,82.01,0,0,0,0,18.4,16.6,25,1025,100,10,36,0.1,0,10
13.5,13.5,9.9,78.84,0,0,0,0,19.8,11.5,343,1025.2,100,10,61,0.2,1,10
15,15,9,67.36,0,0,0,0,20.2,17.5,20,1024.5,100,10,98,0.4,1,10
15,15,8.5,65.11,0,0,0,0,20.9,20.3,10,1023.5,100,10,138,0.5,1,10
15.4,15.4,8.2,62.25,0,0,0,0,21.2,11.5,345,1022.5,100,10.2,185,0.7,2,10
15,15,8.5,65.11,0,0,0,0,23,18.4,40,1022,100,10,199,0.7,2,10
15,15,8.5,65.11,0,0,0,0,24.5,21.4,30,1022,100,10,122,0.4,1,10
